note,category
Health checkup,Health
Bought textbooks,Education
Repair work,Others
Clothing,Shopping
Lunch at restaurant,Food
Stationery items,Education
Train ticket,Travel
Credit card bill,Bills
Snacks,Food
Bought medicines,Health
Bought shoes,Shopping
Movie tickets,Entertainment
Water bill,Utilities
Bought textbooks,Education
Repair work,Others
Water bill,Utilities
Repair work,Others
Grocery shopping,Food
Charity donation,Others
Netflix subscription,Entertainment
Miscellaneous expense,Others
Coffee,Food
Credit card bill,Bills
Online course subscription,Education
Coffee,Food
Charity donation,Others
New backpack,Shopping
Gift for friend,Others
Gift for friend,Others
Concert ticket,Entertainment
Lunch at restaurant,Food
Internet bill,Utilities
Health checkup,Health
Gym membership,Health
Coffee,Food
New backpack,Shopping
Dinner with friends,Food
Water bill,Utilities
Internet bill,Utilities
Internet bill,Utilities
Bought textbooks,Education
Gift for friend,Others
Loan EMI,Bills
Gas bill,Utilities
Cab fare,Travel
Coffee,Food
Flight booking,Travel
Internet bill,Utilities
Lunch at restaurant,Food
Snacks,Food
Internet bill,Utilities
Credit card bill,Bills
Dinner with friends,Food
New backpack,Shopping
Cab fare,Travel
Miscellaneous expense,Others
Concert ticket,Entertainment
Netflix subscription,Entertainment
Water bill,Utilities
Gift for friend,Others
Credit card bill,Bills
Concert ticket,Entertainment
Stationery items,Education
Train ticket,Travel
Bought textbooks,Education
Water bill,Utilities
Doctor consultation,Health
Gym membership,Health
Dinner with friends,Food
Internet bill,Utilities
Stationery items,Education
Clothing,Shopping
Bought a video game,Entertainment
Bought medicines,Health
Doctor consultation,Health
Internet bill,Utilities
Netflix subscription,Entertainment
Cab fare,Travel
Dinner with friends,Food
Clothing,Shopping
Petrol refill,Travel
Mobile recharge,Bills
Mobile recharge,Bills
Stationery items,Education
Internet bill,Utilities
Bought shoes,Shopping
Miscellaneous expense,Others
Loan EMI,Bills
Internet bill,Utilities
Netflix subscription,Entertainment
Repair work,Others
Bought shoes,Shopping
Electricity bill,Utilities
Bought textbooks,Education
Grocery shopping,Food
Health checkup,Health
Mobile recharge,Bills
Movie tickets,Entertainment
Doctor consultation,Health
Gas bill,Utilities
Gym membership,Health
lunch at cafe,Food
lunch at cade,Food
